feature	ref_CI	permuted_CI	algo	model
1	eln_2017_adverse	0.604327460815942	0.564963395781217	Lasso	eln_all_gen
2	eln_2017_adverse	0.604327460815942	0.550473300397677	Lasso	eln_all_gen
3	eln_2017_adverse	0.604327460815942	0.581011561429124	Lasso	eln_all_gen
4	eln_2017_adverse	0.604327460815942	0.567396672316009	Lasso	eln_all_gen
5	eln_2017_favorable	0.604327460815942	0.591977307185159	Lasso	eln_all_gen
6	eln_2017_favorable	0.604327460815942	0.591108995237068	Lasso	eln_all_gen
7	eln_2017_favorable	0.604327460815942	0.592885820485782	Lasso	eln_all_gen
8	eln_2017_favorable	0.604327460815942	0.589803918652427	Lasso	eln_all_gen
9	eln_2017_intermediate	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
10	eln_2017_intermediate	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
11	eln_2017_intermediate	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
12	eln_2017_intermediate	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
13	ASXL1	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
14	ASXL1	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
15	ASXL1	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
16	ASXL1	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
17	ASXL2	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
18	ASXL2	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
19	ASXL2	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
20	ASXL2	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
21	ASXL3	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
22	ASXL3	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
23	ASXL3	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
24	ASXL3	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
25	ATRX	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
26	ATRX	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
27	ATRX	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
28	ATRX	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
29	BAGE3	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
30	BAGE3	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
31	BAGE3	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
32	BAGE3	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
33	BCOR	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
34	BCOR	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
35	BCOR	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
36	BCOR	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
37	BRAF	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
38	BRAF	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
39	BRAF	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
40	BRAF	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
41	CBFB	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
42	CBFB	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
43	CBFB	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
44	CBFB	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
45	CBL	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
46	CBL	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
47	CBL	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
48	CBL	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
49	CDKN2A	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
50	CDKN2A	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
51	CDKN2A	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
52	CDKN2A	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
53	CEBPA_bi	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
54	CEBPA_bi	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
55	CEBPA_bi	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
56	CEBPA_bi	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
57	CEBPA_mono	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
58	CEBPA_mono	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
59	CEBPA_mono	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
60	CEBPA_mono	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
61	CNTN5	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
62	CNTN5	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
63	CNTN5	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
64	CNTN5	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
65	CREBBP	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
66	CREBBP	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
67	CREBBP	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
68	CREBBP	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
69	CSF1R	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
70	CSF1R	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
71	CSF1R	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
72	CSF1R	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
73	CSF3R	0.604327460815942	0.604327460815942	Lasso	eln_all_gen
