feature	ref_CI	permuted_CI	algo	model
1	principal_component_NPM1	0.616340398234696	0.616340398234696	Lasso	comp
2	principal_component_NPM1	0.616340398234696	0.616340398234696	Lasso	comp
3	principal_component_NPM1	0.616340398234696	0.616340398234696	Lasso	comp
4	principal_component_NPM1	0.616340398234696	0.616340398234696	Lasso	comp
5	principal_component_t_11	0.616340398234696	0.616340398234696	Lasso	comp
6	principal_component_t_11	0.616340398234696	0.616340398234696	Lasso	comp
7	principal_component_t_11	0.616340398234696	0.616340398234696	Lasso	comp
8	principal_component_t_11	0.616340398234696	0.616340398234696	Lasso	comp
9	principal_component_TP53_complex	0.616340398234696	0.571436046455214	Lasso	comp
10	principal_component_TP53_complex	0.616340398234696	0.577323704562466	Lasso	comp
11	principal_component_TP53_complex	0.616340398234696	0.559964359922987	Lasso	comp
12	principal_component_TP53_complex	0.616340398234696	0.55098678766183	Lasso	comp
13	principal_component_sAML2	0.616340398234696	0.55940699122884	Lasso	comp
14	principal_component_sAML2	0.616340398234696	0.537847094373955	Lasso	comp
15	principal_component_sAML2	0.616340398234696	0.575384583239335	Lasso	comp
16	principal_component_sAML2	0.616340398234696	0.562136257791431	Lasso	comp
17	principal_component_sAML1	0.616340398234696	0.616340398234696	Lasso	comp
18	principal_component_sAML1	0.616340398234696	0.616340398234696	Lasso	comp
19	principal_component_sAML1	0.616340398234696	0.616340398234696	Lasso	comp
20	principal_component_sAML1	0.616340398234696	0.616340398234696	Lasso	comp
21	principal_component_CEBPA_bi	0.616340398234696	0.616340398234696	Lasso	comp
22	principal_component_CEBPA_bi	0.616340398234696	0.616340398234696	Lasso	comp
23	principal_component_CEBPA_bi	0.616340398234696	0.616340398234696	Lasso	comp
24	principal_component_CEBPA_bi	0.616340398234696	0.616340398234696	Lasso	comp
25	principal_component_DNMT3A_IDH1_2	0.616340398234696	0.616340398234696	Lasso	comp
26	principal_component_DNMT3A_IDH1_2	0.616340398234696	0.616340398234696	Lasso	comp
27	principal_component_DNMT3A_IDH1_2	0.616340398234696	0.616340398234696	Lasso	comp
28	principal_component_DNMT3A_IDH1_2	0.616340398234696	0.616340398234696	Lasso	comp
29	principal_component_inv_3	0.616340398234696	0.616340398234696	Lasso	comp
30	principal_component_inv_3	0.616340398234696	0.616340398234696	Lasso	comp
31	principal_component_inv_3	0.616340398234696	0.616340398234696	Lasso	comp
32	principal_component_inv_3	0.616340398234696	0.616340398234696	Lasso	comp
33	principal_component_mNOS	0.616340398234696	0.616340398234696	Lasso	comp
34	principal_component_mNOS	0.616340398234696	0.616340398234696	Lasso	comp
35	principal_component_mNOS	0.616340398234696	0.616340398234696	Lasso	comp
36	principal_component_mNOS	0.616340398234696	0.616340398234696	Lasso	comp
37	principal_component_t_8_21	0.616340398234696	0.610464246192421	Lasso	comp
38	principal_component_t_8_21	0.616340398234696	0.604984051851797	Lasso	comp
39	principal_component_t_8_21	0.616340398234696	0.598169433473351	Lasso	comp
40	principal_component_t_8_21	0.616340398234696	0.609505888804649	Lasso	comp
41	principal_component_no_events	0.616340398234696	0.616340398234696	Lasso	comp
42	principal_component_no_events	0.616340398234696	0.616340398234696	Lasso	comp
43	principal_component_no_events	0.616340398234696	0.616340398234696	Lasso	comp
44	principal_component_no_events	0.616340398234696	0.616340398234696	Lasso	comp
45	principal_component_WT1	0.616340398234696	0.616340398234696	Lasso	comp
46	principal_component_WT1	0.616340398234696	0.616340398234696	Lasso	comp
47	principal_component_WT1	0.616340398234696	0.616340398234696	Lasso	comp
48	principal_component_WT1	0.616340398234696	0.616340398234696	Lasso	comp
49	principal_component_inv_16	0.616340398234696	0.606138058927444	Lasso	comp
50	principal_component_inv_16	0.616340398234696	0.599711851762687	Lasso	comp
51	principal_component_inv_16	0.616340398234696	0.609231140742962	Lasso	comp
52	principal_component_inv_16	0.616340398234696	0.602508850383889	Lasso	comp
53	principal_component_Trisomies	0.616340398234696	0.616340398234696	Lasso	comp
54	principal_component_Trisomies	0.616340398234696	0.616340398234696	Lasso	comp
55	principal_component_Trisomies	0.616340398234696	0.616340398234696	Lasso	comp
56	principal_component_Trisomies	0.616340398234696	0.616340398234696	Lasso	comp
57	principal_component_t_6_9	0.616340398234696	0.616340398234696	Lasso	comp
58	principal_component_t_6_9	0.616340398234696	0.616340398234696	Lasso	comp
59	principal_component_t_6_9	0.616340398234696	0.616340398234696	Lasso	comp
60	principal_component_t_6_9	0.616340398234696	0.616340398234696	Lasso	comp
61	principal_component_t_15_17	0.616340398234696	0.616340398234696	Lasso	comp
62	principal_component_t_15_17	0.616340398234696	0.616340398234696	Lasso	comp
63	principal_component_t_15_17	0.616340398234696	0.616340398234696	Lasso	comp
64	principal_component_t_15_17	0.616340398234696	0.616340398234696	Lasso	comp
65	principal_component_NPM1	0.631596448944788	0.631596448944788	Lasso	comp
66	principal_component_NPM1	0.631596448944788	0.631596448944788	Lasso	comp
67	principal_component_NPM1	0.631596448944788	0.631596448944788	Lasso	comp
68	principal_component_NPM1	0.631596448944788	0.631596448944788	Lasso	comp
69	principal_component_t_11	0.631596448944788	0.631596448944788	Lasso	comp
70	principal_component_t_11	0.631596448944788	0.631596448944788	Lasso	comp
71	principal_component_t_11	0.631596448944788	0.631596448944788	Lasso	comp
72	principal_component_t_11	0.631596448944788	0.631596448944788	Lasso	comp
73	principal_component_TP53_complex	0.631596448944788	0.544101584337806	Lasso	comp
74	principal_component_TP53_complex	0.631596448944788	0.560988675739154	Lasso	comp
75	principal_component_TP53_complex	0.631596448944788	0.561748262481573	Lasso	comp
